availability,category,coursePictureUrl,credits,endDate,enrolled,enrollmentEndDate,estimatedWorkload,examDate,explorerInstructorName,explorerSummary,featured,id,instructorInstitute,name,ncCode,nodeCode,openForRegistration,showInExplorer,startDate,title,url,weeks
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_me26.jpg,2,2020-04-17T00:00:00.000000Z,False,2020-02-23T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. D K Dwivedi,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21lMjY=,IIT Roorkee,MECH_ENGG,NPTEL,nd1,True,True,2020-02-24T00:00:00.000000Z,Failure analysis and Prevention,/nd1_noc20_me26/preview,8
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_hs42.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Mathangi Krishnamurthy,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2hzNDI=,IIT Madras,Humanities_and_Social_Sciences,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Feminism:Concepts and Theories,/nd1_noc20_hs42/preview,12
registration_required,, https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/cec20_mg09/finance for non finance.bmp?seed=26161&url=https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/cec20_mg09/finance for non finance.bmp,4,2020-04-12T17:30:00.000000Z,False,2020-02-28T17:30:00.000000Z,,2020-05-09T03:30:00.000000Z,Jayant K. Oke,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX21nMDk=,"Savitribai Phule Pune University, Pune",Management,CEC,nd2,True,True,2020-01-19T18:30:00.000000Z,Finance for Non-Finance,/nd2_cec20_mg09/preview,12
registration_required,,https://storage.googleapis.com/swayam-node2-production.appspot.com/assets/img/imb19_mg07/FinancialAccountingandAnalysis.png,2,2020-04-30T23:00:00.000000Z,False,2020-02-28T23:00:00.000000Z,,2020-05-10T00:00:00.000000Z,Padmini Srinivasan,"<div class=""yui-wk-div""><b>Padmini Srinivasan</b></div><div class=""yui-wk-div"">Faculty, Finance &amp; Accounting Area</div><div class=""yui-wk-div"">Indian Institute of Management Bangalore<br></div>",True,Q291cnNlTGlzdDovbmQyX2ltYjIwX21nMDY=,Indian Institute of Management Bangalore (IIMB),Management,IIMB,nd2,True,True,2020-01-31T06:00:00.000000Z,Financial Accounting and Analysis,/nd2_imb20_mg06/preview,6
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_mg10.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Jitendra Mahakud,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21nMTA=,IIT Kharagpur,Management,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Financial Institutions and Markets,/nd1_noc20_mg10/preview,12
registration_required,,https://drive.google.com/open?id=1ttGPIBN_u6x1ECnIsAC19wY3I99mxV2e,4,2020-04-15T18:30:00.000000Z,False,,,,CA Amita Bissa,,True,Q291cnNlTGlzdDovbmQyX2NlYzIwX21nMDU=,"Jai Narain Vyas University, Jodhpur",Management,CEC,nd2,True,True,2020-01-15T18:30:00.000000Z,Financial Management,/nd2_cec20_mg05/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_mg31.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Anil K. Sharma,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21nMzE=,IIT Roorkee,Management,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Financial Management For Managers,/nd1_noc20_mg31/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_me36.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-26T00:00:00.000000Z,Prof. Pradeep Kumar Jha,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21lMzY=,IIT Roorkee,MECH_ENGG,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Financial Mathematics,/nd1_noc20_me36/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_mg22.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Anil K. Sharma,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX21nMjI=,IIT Roorkee,Management,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Financial Statement Analysis and Reporting,/nd1_noc20_mg22/preview,12
registration_required,,https://storage.googleapis.com/swayam2-node/Jan%202020%20Course%20card%20images/noc20_ce09.jpg,3,2020-04-17T00:00:00.000000Z,False,2020-02-02T18:30:00.000000Z,,2020-04-25T00:00:00.000000Z,Prof. Prof. B Bhattacharjee,,False,Q291cnNlTGlzdDovbmQxX25vYzIwX2NlMDk=,IIT Delhi,CIVIL_ENGINEERING,NPTEL,nd1,True,True,2020-01-27T00:00:00.000000Z,Fire Protection Services and Maintenance Management of Building,/nd1_noc20_ce09/preview,12
